time,open,high,low,close,volume
1530187200,110.22,110.24,110.062,110.15,1681
1530190800,110.148,110.327,110.141,110.309,1764
1530194400,110.306,110.384,110.19,110.37,2417
1530198000,110.368,110.424,110.276,110.385,1548
1530201600,110.388,110.396,110.282,110.342,827
1530205200,110.344,110.444,110.327,110.416,848
1530208800,110.414,110.632,110.411,110.63,967
1530212400,110.632,110.65,110.504,110.519,620
1530216000,110.516,110.536,110.482,110.493,262
1530219600,110.5,110.53,110.422,110.465,584
1530223200,110.468,110.528,110.468,110.492,198
1530226800,110.489,110.541,110.43,110.49,466
1530230400,110.492,110.51,110.376,110.447,1697
1530234000,110.445,110.601,110.434,110.462,1907
1530237600,110.46,110.732,110.448,110.718,2427
1530241200,110.72,110.791,110.67,110.687,1788
1530244800,110.69,110.755,110.657,110.678,1368
1530248400,110.675,110.709,110.636,110.704,987
1530252000,110.702,110.707,110.566,110.604,1205
1530255600,110.602,110.646,110.566,110.639,1104
1530259200,110.637,110.763,110.623,110.742,1454
1530262800,110.739,110.752,110.638,110.652,648
1530266400,110.65,110.681,110.475,110.614,1452
1530270000,110.616,110.668,110.596,110.661,853
1530273600,110.663,110.74,110.609,110.609,1305
1530277200,110.612,110.794,110.608,110.746,1099
1530280800,110.744,110.78,110.62,110.744,1403
1530284400,110.742,110.881,110.707,110.72,1326
1530288000,110.718,110.804,110.703,110.78,785
1530291600,110.783,110.856,110.777,110.794,547
1530295200,110.792,110.883,110.792,110.87,439
1530298800,110.872,110.944,110.711,110.711,876
1530302400,110.714,110.73,110.606,110.728,622
1530478800,110.675,110.842,110.594,110.66,1924
1530482400,110.665,110.737,110.642,110.704,1736
1530486000,110.706,110.766,110.683,110.736,584
1530489600,110.739,110.844,110.707,110.844,1264
1530493200,110.841,111.06,110.818,110.984,1673
1530496800,110.982,111.062,110.96,111.017,795
1530500400,111.014,111.014,110.84,110.862,668
1530504000,110.864,110.888,110.756,110.802,1060
1530507600,110.8,110.8,110.662,110.694,1454
1530511200,110.696,110.764,110.662,110.706,923
1530514800,110.704,110.758,110.604,110.739,1546
1530518400,110.742,110.84,110.704,110.802,1124
1530522000,110.805,110.84,110.756,110.833,679
1530525600,110.836,110.836,110.736,110.77,674
1530529200,110.767,110.796,110.732,110.758,464
1530532800,110.755,110.826,110.7,110.816,724
1530536400,110.819,110.918,110.808,110.816,1093
1530540000,110.818,110.91,110.72,110.74,1519
1530543600,110.738,110.806,110.676,110.728,842
1530547200,110.726,110.85,110.714,110.844,576
1530550800,110.846,110.926,110.792,110.886,480
1530554400,110.889,110.926,110.86,110.878,594
1530558000,110.881,110.883,110.83,110.869,433
1530561600,110.867,110.906,110.811,110.894,307
1530565200,110.868,110.891,110.8,110.862,757
1530568800,110.865,110.894,110.84,110.842,183
1530572400,110.84,110.886,110.824,110.882,346
1530576000,110.884,110.978,110.875,110.962,1394
1530579600,110.964,111.134,110.758,110.855,3070
1530583200,110.852,110.958,110.798,110.894,1694
1530586800,110.896,110.904,110.81,110.844,1262
1530590400,110.842,110.877,110.797,110.844,731
1530594000,110.842,111.004,110.792,110.98,1661
1530597600,110.982,111.061,110.948,111.052,1114
1530601200,111.049,111.116,110.94,110.981,1505
1530604800,110.983,111.016,110.877,110.926,1132
1530608400,110.928,110.941,110.846,110.926,617
1530612000,110.928,110.936,110.85,110.865,405
1530615600,110.863,110.863,110.821,110.832,419
1530619200,110.829,110.838,110.59,110.694,1343
1530622800,110.697,110.744,110.62,110.638,1037
1530626400,110.641,110.68,110.562,110.644,1401
1530630000,110.642,110.645,110.508,110.534,904
1530633600,110.538,110.612,110.53,110.552,808
1530637200,110.549,110.582,110.526,110.562,265
1530640800,110.56,110.608,110.552,110.606,158
1530644400,110.604,110.61,110.558,110.602,151
1530648000,110.598,110.602,110.568,110.589,325
1530651600,110.595,110.612,110.538,110.582,710
1530655200,110.584,110.594,110.48,110.504,290
1530658800,110.506,110.537,110.397,110.416,600
1530662400,110.414,110.45,110.278,110.29,1474
1530666000,110.292,110.45,110.282,110.354,1805
1530669600,110.352,110.436,110.304,110.412,1065
1530673200,110.414,110.448,110.382,110.446,618
1530676800,110.442,110.484,110.428,110.456,470
1530680400,110.459,110.486,110.372,110.396,859
1530684000,110.399,110.418,110.324,110.372,666
1530687600,110.374,110.506,110.343,110.479,643
1530691200,110.476,110.556,110.454,110.484,677
1530694800,110.486,110.524,110.462,110.466,422
1530698400,110.468,110.514,110.468,110.496,277
1530702000,110.498,110.528,110.492,110.498,262
1530705600,110.496,110.52,110.471,110.495,387
1530709200,110.498,110.522,110.476,110.496,548
1530712800,110.494,110.55,110.474,110.546,453
1530716400,110.543,110.552,110.51,110.512,224
1530720000,110.514,110.52,110.46,110.475,266
1530723600,110.472,110.482,110.416,110.469,511
1530727200,110.471,110.5,110.464,110.476,931
1530730800,110.474,110.511,110.45,110.484,1634
1530734400,110.482,110.53,110.47,110.494,3903
1530738000,110.487,110.53,110.435,110.443,923
1530741600,110.446,110.51,110.446,110.474,274
1530745200,110.476,110.516,110.444,110.504,381
1530748800,110.502,110.619,110.406,110.449,1514
1530752400,110.446,110.482,110.296,110.416,2117
1530756000,110.414,110.467,110.386,110.422,924
1530759600,110.426,110.432,110.291,110.342,1074
1530763200,110.34,110.403,110.322,110.378,802
1530766800,110.376,110.7,110.369,110.666,1731
1530770400,110.664,110.682,110.545,110.616,885
1530774000,110.619,110.69,110.606,110.652,727
1530777600,110.655,110.676,110.602,110.61,493
1530781200,110.612,110.706,110.588,110.686,547
1530784800,110.688,110.693,110.628,110.658,288
1530788400,110.66,110.687,110.614,110.673,342
1530792000,110.671,110.694,110.542,110.571,1089
1530795600,110.569,110.663,110.548,110.638,1440
1530799200,110.641,110.694,110.526,110.568,1506
1530802800,110.565,110.654,110.532,110.602,1005
1530806400,110.6,110.654,110.578,110.63,593
1530810000,110.632,110.692,110.632,110.664,424
1530813600,110.666,110.73,110.58,110.673,1300
1530817200,110.671,110.713,110.639,110.641,409
1530820800,110.638,110.676,110.616,110.645,228
1530824400,110.588,110.692,110.581,110.662,660
1530828000,110.666,110.702,110.599,110.66,337
1530831600,110.657,110.662,110.544,110.571,350
1530835200,110.568,110.742,110.531,110.689,1313
1530838800,110.691,110.758,110.631,110.728,1404
1530842400,110.731,110.746,110.649,110.683,974
1530846000,110.68,110.716,110.64,110.716,652
1530849600,110.718,110.776,110.599,110.676,1606
1530853200,110.673,110.786,110.654,110.74,1088
1530856800,110.738,110.776,110.601,110.606,843
1530860400,110.604,110.634,110.529,110.58,994
1530864000,110.577,110.644,110.547,110.634,471
1530867600,110.637,110.648,110.592,110.632,395
1530871200,110.63,110.674,110.628,110.637,250
1530874800,110.64,110.64,110.604,110.627,129
1530878400,110.624,110.691,110.438,110.568,2315
1530882000,110.564,110.565,110.392,110.392,1558
1530885600,110.394,110.474,110.382,110.455,1432
1530889200,110.452,110.526,110.415,110.486,659
1530892800,110.488,110.549,110.474,110.474,441
1530896400,110.472,110.51,110.454,110.486,245
1530900000,110.483,110.516,110.445,110.445,227
1530903600,110.442,110.453,110.398,110.428,367
1530907200,110.43,110.486,110.388,110.468,462
1531083600,110.447,110.478,110.393,110.428,410
1531087200,110.424,110.476,110.4,110.412,579
1531090800,110.414,110.46,110.392,110.441,258
1531094400,110.443,110.531,110.405,110.46,909
1531098000,110.457,110.502,110.352,110.422,1182
1531101600,110.424,110.504,110.422,110.454,591
1531105200,110.452,110.468,110.422,110.456,323
1531108800,110.454,110.456,110.421,110.448,257
