time,open,high,low,close,volume
1589317200,107.154,107.279,106.744,107.038,66521
1589403600,107.046,107.366,106.776,107.236,61652
1589490000,107.249,107.434,106.857,107.074,61586
1589749200,107.114,107.506,107.069,107.314,58030
1589835600,107.336,108.088,107.294,107.699,66548
1589922000,107.694,107.985,107.336,107.545,53875
1590008400,107.538,107.85,107.51,107.608,54261
1590094800,107.624,107.762,107.323,107.635,47151
1590354000,107.609,107.784,107.567,107.716,28370
1590440400,107.697,107.924,107.402,107.562,54938
1590526800,107.577,107.947,107.365,107.722,75917
1590613200,107.724,107.902,107.571,107.639,68906
1590699600,107.648,107.894,107.084,107.821,85924
1590958800,107.821,107.856,107.38,107.592,64270
1591045200,107.577,108.773,107.514,108.68,77594
1591131600,108.685,108.984,108.424,108.904,83199
1591218000,108.9,109.198,108.618,109.157,89207
1591304400,109.146,109.85,109.041,109.59,79534
1591563600,109.585,109.694,108.236,108.43,70717
1591650000,108.44,108.546,107.622,107.755,85681
1591736400,107.75,107.874,106.987,107.122,88045
1591822800,107.116,107.236,106.573,106.865,99646
1591909200,106.88,107.556,106.587,107.392,114301
1592168400,107.375,107.57,107.0,107.324,93167
1592254800,107.339,107.642,107.214,107.324,95203
1592341200,107.374,107.442,106.952,107.007,63740
1592427600,107.014,107.129,106.668,106.973,76020
1592514000,107.0,107.06,106.768,106.891,61394
1592773200,106.773,107.012,106.769,106.906,59138
1592859600,106.929,107.222,106.074,106.526,85235
1592946000,106.519,107.072,106.384,107.042,76467
1593032400,107.064,107.452,106.985,107.195,71507
1593118800,107.22,107.356,106.8,107.219,60982
1593378000,107.16,107.885,107.041,107.572,61571
1593464400,107.567,107.986,107.522,107.933,70001
1593550800,107.928,108.165,107.363,107.463,61049
1593637200,107.469,107.726,107.334,107.502,52704
1593723600,107.516,107.57,107.437,107.502,29082
1593982800,107.511,107.773,107.258,107.388,43852
1594069200,107.37,107.792,107.246,107.52,49881
1594155600,107.552,107.71,107.202,107.26,38628
1594242000,107.299,107.398,107.099,107.206,60915
1594328400,107.216,107.266,106.638,106.923,47695
1594587600,106.94,107.32,106.788,107.293,47475
1594674000,107.27,107.434,107.12,107.239,55949
1594760400,107.255,107.309,106.668,106.932,56215
1594846800,106.943,107.404,106.836,107.274,54537
1594933200,107.286,107.363,106.94,107.037,43013
1595192400,107.136,107.542,107.018,107.272,52129
1595278800,107.234,107.368,106.681,106.803,57528
1595365200,106.81,107.29,106.712,107.158,65152
1595451600,107.165,107.23,106.712,106.866,53582
1595538000,106.871,106.912,105.682,106.14,74158
1595797200,106.11,106.11,105.117,105.379,85781
1595883600,105.398,105.688,104.956,105.096,81392
1595970000,105.088,105.244,104.773,104.92,83821
1596056400,104.926,105.294,104.68,104.728,86846
1596142800,104.72,106.056,104.188,105.896,118847
1596402000,105.883,106.472,105.581,105.952,104381
1596488400,105.976,106.196,105.64,105.718,73080
1596574800,105.746,105.872,105.322,105.596,81669
1596661200,105.566,105.698,105.302,105.55,83066
1596747600,105.528,106.058,105.481,105.926,79710
1597006800,105.885,106.204,105.71,105.96,57089
1597093200,105.951,106.686,105.93,106.492,81384
1597179600,106.502,107.016,106.442,106.894,82981
1597266000,106.887,107.05,106.568,106.93,74087
1597352400,106.903,107.041,106.436,106.595,59014
1597611600,106.601,106.656,105.944,106.006,61988
1597698000,106.0,106.066,105.284,105.41,78238
1597784400,105.414,106.154,105.104,106.118,91415
1597870800,106.123,106.218,105.745,105.804,92679
1597957200,105.796,106.073,105.442,105.808,79431
1598216400,105.776,105.999,105.69,105.974,59566
1598302800,105.98,106.578,105.873,106.389,69838
1598389200,106.382,106.556,105.957,105.99,68775
1598475600,106.018,106.702,105.604,106.56,112330
1598562000,106.564,106.948,105.203,105.368,126174
1598821200,105.448,106.097,105.294,105.908,92231
1598907600,105.923,106.154,105.592,105.958,94184
1598994000,105.969,106.303,105.851,106.182,75715
1599080400,106.186,106.552,106.004,106.195,82228
1599166800,106.188,106.504,106.057,106.241,72276
1599426000,106.26,106.386,106.133,106.272,41251
1599512400,106.28,106.382,105.862,106.032,70368
1599598800,106.026,106.274,105.79,106.18,71322
1599685200,106.211,106.303,105.984,106.134,67614
1599771600,106.13,106.266,106.058,106.168,54244
1600030800,106.131,106.166,105.546,105.732,51587
1600117200,105.727,105.815,105.299,105.447,60372
1600203600,105.452,105.452,104.804,104.953,79208
1600290000,104.964,105.175,104.526,104.744,78216
1600376400,104.754,104.871,104.274,104.572,60357
1600635600,104.567,104.909,104.001,104.644,79400
1600722000,104.656,105.078,104.406,104.934,67686
1600808400,104.926,105.496,104.878,105.395,74434
1600894800,105.401,105.532,105.206,105.408,75222
1600981200,105.402,105.7,105.24,105.584,63878
1601240400,105.514,105.698,105.264,105.517,60955
1601326800,105.512,105.736,105.343,105.666,70566
1601413200,105.655,105.806,105.403,105.548,85392
1601499600,105.543,105.73,105.404,105.529,81043
1601586000,105.534,105.667,104.944,105.32,91333
1601845200,105.325,105.796,105.297,105.742,63407
1601931600,105.734,105.786,105.471,105.63,70682
1602018000,105.616,106.108,105.6,105.966,65763
1602104400,105.974,106.108,105.924,106.032,52192
1602190800,106.022,106.042,105.581,105.622,62264
1602450000,105.735,105.814,105.242,105.343,57928
1602536400,105.347,105.628,105.282,105.482,63557
1602622800,105.465,105.516,105.037,105.167,58959
1602709200,105.144,105.494,105.065,105.446,64227
1602795600,105.451,105.455,105.191,105.406,60291
1603054800,105.383,105.502,105.302,105.441,53223
1603141200,105.432,105.748,105.351,105.502,57498
1603227600,105.495,105.528,104.342,104.591,70716
1603314000,104.587,104.924,104.476,104.845,55517
1603400400,104.85,104.938,104.548,104.709,52145
1603659600,104.715,105.056,104.656,104.834,56784
1603746000,104.841,104.89,104.389,104.416,48351
1603832400,104.408,104.558,104.114,104.314,68187
1603918800,104.302,104.728,104.025,104.602,72141
1604005200,104.607,104.744,104.125,104.62,71631
1604268000,104.538,104.95,104.534,104.695,52056
1604354400,104.711,104.802,104.433,104.531,76959
1604440800,104.522,105.346,104.15,104.512,166793
1604527200,104.516,104.549,103.442,103.504,110775
1604613600,103.498,103.76,103.177,103.37,110974
1604872800,103.331,105.648,103.19,105.372,137853
1604959200,105.378,105.488,104.822,105.302,106284
1605045600,105.307,105.677,105.006,105.432,66405
1605132000,105.437,105.478,105.07,105.134,68023
1605218400,105.127,105.158,104.565,104.64,64613
1605477600,104.73,105.138,104.364,104.583,75617
1605564000,104.587,104.611,104.071,104.197,63725
1605650400,104.192,104.208,103.653,103.822,67048
1605736800,103.817,104.217,103.719,103.749,68982
1605823200,103.803,103.912,103.703,103.858,51677
1606082400,103.798,104.638,103.683,104.516,66662
1606168800,104.526,104.762,104.147,104.447,71937
1606255200,104.444,104.6,104.256,104.458,64763
1606341600,104.463,104.478,104.216,104.275,47585
1606428000,104.266,104.282,103.906,104.108,46039
1606687200,104.083,104.41,103.832,104.296,72366
1606773600,104.3,104.578,104.182,104.339,68209
1606860000,104.35,104.754,104.226,104.413,70091
1606946400,104.416,104.536,103.672,103.842,71192
1607032800,103.839,104.244,103.739,104.188,73753
1607292000,104.096,104.313,103.922,104.056,66606
1607378400,104.058,104.208,103.956,104.171,64247
1607464800,104.176,104.407,104.052,104.225,56237
1607551200,104.236,104.58,104.174,104.242,70313
1607637600,104.249,104.284,103.824,104.056,61468
1607896800,103.994,104.106,103.512,104.068,62995
1607983200,104.072,104.152,103.606,103.674,54068
1608069600,103.67,103.92,103.262,103.46,67823
1608156000,103.467,103.562,102.874,103.095,65795
1608242400,103.1,103.596,103.09,103.308,60443
1608501600,103.524,103.892,103.252,103.343,87746
1608588000,103.348,103.734,103.281,103.649,64172
1608674400,103.643,103.654,103.356,103.584,63962
1608760800,103.593,103.768,103.501,103.675,40532
1608847200,103.687,103.691,103.684,103.69,8
1609106400,103.53,103.9,103.405,103.81,51057
1609192800,103.817,103.844,103.464,103.603,51514
1609279200,103.598,103.638,102.962,103.164,60095
1609365600,103.168,103.321,102.996,103.318,49675
1609711200,103.12,103.317,102.714,103.126,75269
1609797600,103.121,103.192,102.604,102.739,69915
1609884000,102.733,103.444,102.593,103.048,98425
1609970400,103.053,103.959,102.951,103.812,88511
1610056800,103.816,104.094,103.604,103.934,101727
1610316000,103.899,104.399,103.89,104.266,67604
1610402400,104.27,104.333,103.722,103.752,69048
1610488800,103.76,103.998,103.526,103.884,66314
1610575200,103.891,104.198,103.563,103.802,77022
1610661600,103.808,103.913,103.616,103.876,60017
1610920800,103.818,103.931,103.638,103.691,55602
1611007200,103.686,104.086,103.653,103.902,60759
1611093600,103.9,103.936,103.448,103.542,57625
1611180000,103.538,103.669,103.328,103.511,62962
1611266400,103.503,103.886,103.486,103.777,52145
1611525600,103.809,103.938,103.672,103.738,51308
1611612000,103.732,103.829,103.556,103.618,47321
1611698400,103.623,104.201,103.588,104.11,59594
1611784800,104.106,104.463,104.064,104.231,61373
1611871200,104.226,104.941,104.224,104.714,71206
1612130400,104.79,105.036,104.609,104.924,41587
1612216800,104.92,105.174,104.829,104.973,43233
1612303200,104.981,105.106,104.923,105.03,32850
1612389600,105.022,105.608,104.976,105.583,36749
1612476000,105.596,105.768,105.336,105.4,51295
1612735200,105.35,105.672,105.15,105.223,44430
1612821600,105.217,105.265,104.498,104.602,55472
1612908000,104.582,104.844,104.41,104.58,47304
1612994400,104.589,104.805,104.551,104.747,43443
1613080800,104.794,105.183,104.738,104.926,41760
1613340000,104.905,105.42,104.905,105.388,32873
1613426400,105.376,106.078,105.182,106.047,54193
1613512800,106.043,106.226,105.778,105.875,62477
1613599200,105.87,105.925,105.598,105.715,45661
1613685600,105.694,105.742,105.24,105.429,50153
1613944800,105.401,105.846,104.984,105.081,61662
1614031200,105.072,105.43,104.922,105.251,52638
1614117600,105.256,106.105,105.194,105.885,70767
1614204000,105.852,106.406,105.845,106.214,103679
1614290400,106.208,106.694,105.85,106.568,126833
1614549600,106.553,106.89,106.367,106.762,65284
1614636000,106.719,106.958,106.676,106.687,55035
1614722400,106.691,107.154,106.683,107.014,59362
1614808800,106.993,107.988,106.968,107.982,71843
1614895200,107.963,108.646,107.821,108.339,103084
1615154400,108.36,108.944,108.31,108.899,67547
1615240800,108.884,109.236,108.415,108.488,89467
1615327200,108.472,108.92,108.339,108.381,80377
1615413600,108.404,108.813,108.357,108.511,82077
1615500000,108.517,109.166,108.495,109.024,79256
1615755600,109.006,109.364,108.914,109.129,65320
1615842000,109.148,109.288,108.772,109.0,64225
1615928400,108.994,109.326,108.746,108.841,67055
1616014800,108.846,109.304,108.624,108.886,88424
1616101200,108.932,109.13,108.608,108.884,73612
